Date,Open,High,Low,Close,Adj Close,Volume
2017-10-25,195.380005,197.059998,193.009995,193.770004,193.770004,5315300
2017-10-26,194.660004,197.610001,194.080002,195.210007,195.210007,5185800
2017-10-27,197.199997,200.649994,196.220001,199.539993,199.539993,8128600
2017-10-30,199.619995,201.100006,197.070007,198.369995,198.369995,5439600
2017-10-31,198.210007,198.589996,195.220001,196.429993,196.429993,5518600
2017-11-01,197.240005,199.199997,196.0,198.0,198.0,5017400
2017-11-02,197.449997,199.440002,197.089996,199.320007,199.320007,3606300
2017-11-03,199.800003,200.550003,197.990005,200.009995,200.009995,3678800
2017-11-06,200.0,202.479996,198.089996,200.130005,200.130005,5846600
2017-11-07,200.0,200.610001,194.800003,195.889999,195.889999,6468000
2017-11-08,196.0,197.089996,194.740005,196.440002,196.440002,4237400
2017-11-09,194.460007,194.490005,190.809998,193.899994,193.899994,5979900
2017-11-10,191.610001,192.589996,189.5,192.020004,192.020004,6622200
2017-11-13,191.119995,196.050003,191.0,195.080002,195.080002,4607000
2017-11-14,193.639999,195.880005,193.0,195.710007,195.710007,3450500
2017-11-15,194.539993,195.419998,191.529999,192.119995,192.119995,4203100
2017-11-16,194.330002,197.699997,193.75,195.509995,195.509995,5678400
2017-11-17,195.740005,195.949997,192.649994,193.199997,193.199997,3906300
2017-11-20,193.300003,194.320007,191.899994,194.100006,194.100006,3827500
2017-11-21,195.039993,197.520004,194.970001,196.229996,196.229996,4787300
2017-11-22,196.580002,196.75,193.630005,196.320007,196.320007,5895400
2017-11-24,196.649994,196.899994,195.330002,195.75,195.75,2160500
2017-11-27,195.559998,195.850006,194.0,195.050003,195.050003,3210100
2017-11-28,195.339996,199.679993,194.009995,199.179993,199.179993,6981100
2017-11-29,198.910004,199.029999,184.320007,188.149994,188.149994,14202700
2017-11-30,190.309998,190.860001,186.679993,187.580002,187.580002,6630100
2017-12-01,186.990005,189.800003,185.0,186.820007,186.820007,6219500
2017-12-04,189.360001,189.720001,178.380005,184.039993,184.039993,9069800
2017-12-05,183.5,188.139999,181.190002,184.210007,184.210007,5783700
2017-12-06,183.380005,186.479996,182.880005,185.300003,185.300003,5490100
2017-12-07,185.710007,187.339996,183.220001,185.199997,185.199997,4659500
2017-12-08,186.5,189.419998,186.300003,188.539993,188.539993,4987300
2017-12-11,187.850006,189.419998,185.910004,186.220001,186.220001,5298600
2017-12-12,186.009995,187.850006,184.820007,185.729996,185.729996,4265900
2017-12-13,186.100006,188.690002,185.410004,187.860001,187.860001,4710000
2017-12-14,187.979996,192.639999,187.199997,189.559998,189.559998,7792800
2017-12-15,189.610001,191.429993,188.009995,190.119995,190.119995,7285600
2017-12-18,191.199997,191.649994,188.899994,190.419998,190.419998,5011000
2017-12-19,190.179993,190.300003,185.75,187.020004,187.020004,7033000
2017-12-20,187.940002,189.110001,185.259995,188.820007,188.820007,6545400
2017-12-21,189.440002,190.949997,187.580002,188.619995,188.619995,4729800
2017-12-22,188.330002,190.949997,186.800003,189.940002,189.940002,3878900
2017-12-26,189.779999,189.940002,186.399994,187.759995,187.759995,3045700
2017-12-27,187.800003,188.100006,185.220001,186.240005,186.240005,4002100
2017-12-28,187.179993,194.490005,186.850006,192.710007,192.710007,10107400
2017-12-29,192.509995,193.949997,191.220001,191.960007,191.960007,5187600
2018-01-02,196.100006,201.649994,195.419998,201.070007,201.070007,10966900
2018-01-03,202.050003,206.210007,201.5,205.050003,205.050003,8591400
2018-01-04,206.199997,207.050003,204.0,205.630005,205.630005,6029600
2018-01-05,207.25,210.020004,205.589996,209.990005,209.990005,7033200
2018-01-08,210.020004,212.5,208.440002,212.050003,212.050003,5580200
2018-01-09,212.110001,212.979996,208.589996,209.309998,209.309998,6125900
2018-01-10,207.570007,213.639999,206.910004,212.520004,212.520004,5951500
2018-01-11,214.289993,217.75,213.350006,217.240005,217.240005,7659500
2018-01-12,217.179993,222.550003,216.0,221.229996,221.229996,8199400
2018-01-16,224.240005,226.070007,217.199997,221.529999,221.529999,13516100
2018-01-17,221.0,221.149994,216.320007,217.5,217.5,9123100
2018-01-18,220.339996,220.580002,216.550003,220.330002,220.330002,8225300
2018-01-19,222.75,223.490005,218.5,220.460007,220.460007,10548600
2018-01-22,222.0,227.789993,221.199997,227.580002,227.580002,17703300
2018-01-23,255.050003,257.709991,248.020004,250.289993,250.289993,27705300
