Date,Open,High,Low,Close,Adj Close,Volume,Gics
2010-01-15,295.562164,295.671753,287.940735,288.917053,288.917053,10909600,4
2010-01-19,289.514832,294.107605,287.069,292.71283,292.71283,8665700,4
2010-01-20,291.895905,291.895905,286.570862,289.121307,289.121307,6525700,4
2010-01-21,290.630646,292.314331,285.056549,290.401489,290.401489,12662600,4
2010-01-22,281.196014,284.234619,266.431335,273.978058,273.978058,13651700,4
2010-01-25,272.274445,273.9133,266.755127,268.99176,268.99176,8872800,4
2010-01-26,267.98053,273.773834,267.143677,270.197235,270.197235,8743600,4
2010-01-27,269.62439,272.80246,266.655518,270.037842,270.037842,7958400,4
2010-01-28,271.228363,272.478668,264.309296,266.1474,266.1474,6482300,4
2010-01-29,268.239563,269.484894,261.823608,263.98053,263.98053,8311900,4
2010-02-01,266.301849,266.904572,264.159851,265.514771,265.514771,4518400,4
2010-02-02,266.481171,266.481171,262.819885,264.568329,264.568329,8223000,4
2010-02-03,263.3479,270.037842,263.128723,269.400208,269.400208,6020500,4
2010-02-04,267.497345,267.995483,261.798706,262.406433,262.406433,6780600,4
2010-02-05,263.213409,265.753876,260.254517,264.653015,264.653015,6335600,4
2010-02-08,265.255768,269.988007,264.772552,265.738953,265.738953,5408700,4
2010-02-09,268.762604,269.753906,266.53595,267.218414,267.218414,5660200,4
2010-02-10,266.037811,267.890869,262.859741,266.227112,266.227112,5369000,4
2010-02-11,265.664215,269.23584,263.761353,267.198486,267.198486,4838000,4
2010-02-12,265.489868,267.572083,264.259491,265.564606,265.564606,4576400,4
2010-02-16,267.432587,271.049042,266.152405,269.639313,269.639313,7336100,4
2010-02-17,269.988007,270.685394,267.801208,268.100098,268.100098,4074500,4
2010-02-18,267.766357,271.487396,267.06897,270.595734,270.595734,4691200,4
2010-02-19,269.255768,270.999237,268.842316,269.370331,269.370331,5125300,4
2010-02-22,272.653015,272.727753,269.489899,270.386536,270.386536,4305100,4
2010-02-23,270.486145,270.799988,265.151154,266.53595,266.53595,5766600,4
2010-02-24,265.992981,268.214661,264.264465,264.742676,264.742676,4670500,4
2010-02-25,262.575806,263.25824,259.029083,262.232086,262.232086,6643100,4
2010-02-26,262.72525,264.882172,260.762604,262.416412,262.416412,4113800,4
2010-03-01,263.611908,265.649292,262.884644,265.350403,265.350403,4492500,4
2010-03-02,266.740204,271.811188,266.506073,269.519775,269.519775,8746200,4
2010-03-03,270.167358,273.036591,268.618164,271.641815,271.641815,6201800,4
2010-03-04,272.229614,277.026642,272.08017,276.259521,276.259521,6391300,4
2010-03-05,279.626892,282.775085,278.904602,281.051544,281.051544,7853700,4
2010-03-08,281.33548,281.534729,279.45752,280.189789,280.189789,4790600,4
2010-03-09,278.8797,281.275696,277.210938,279.049042,279.049042,6376900,4
2010-03-10,280.827393,288.169861,280.055298,287.148682,287.148682,11352100,4
2010-03-11,286.0578,292.010468,286.027893,289.484924,289.484924,8498200,4
2010-03-12,292.971863,293.041595,288.498627,288.687927,288.687927,5527400,4
2010-03-15,282.281952,283.661774,276.961884,280.538483,280.538483,9342600,4
2010-03-16,279.865997,283.148682,279.332977,281.544708,281.544708,6888600,4
2010-03-17,283.088928,284.65802,281.071472,281.72403,281.72403,6668000,4
2010-03-18,281.305603,283.158661,280.428894,282.142456,282.142456,3567600,4
2010-03-19,278.954407,282.939484,277.599487,278.954407,278.954407,9624200,4
2010-03-22,277.016663,282.366608,276.105103,277.709076,277.709076,8039600,4
2010-03-23,277.47995,278.112579,269.988007,273.474945,273.474945,11043800,4
2010-03-24,271.73645,278.8797,268.842316,277.62439,277.62439,13179500,4
2010-03-25,278.466248,284.932007,278.286926,280.389038,280.389038,7891200,4
2010-03-26,281.579559,282.63562,278.964386,280.294403,280.294403,5412500,4
2010-03-29,280.448822,281.305603,279.238342,280.174835,280.174835,6232200,4
2010-03-30,280.364136,282.755157,279.093903,282.296875,282.296875,3970500,4
2010-03-31,281.469971,283.806213,280.354156,282.501129,282.501129,6084200,4
2010-04-01,284.608215,285.654297,281.719055,283.337982,283.337982,4221100,4
2010-04-05,284.384064,286.366638,283.437592,284.438843,284.438843,3817200,4
2010-04-06,283.666748,284.379089,281.644318,283.049072,283.049072,4135600,4
2010-04-07,282.59079,283.31308,279.880951,280.717804,280.717804,5181200,4
2010-04-08,280.608215,283.861023,278.979309,282.685425,282.685425,3909500,4
2010-04-09,282.685425,283.323029,280.94693,282.052795,282.052795,4128600,4
2010-04-12,282.615692,285.928284,282.052795,285.295654,285.295654,4722400,4
2010-04-13,285.196014,293.340485,284.498627,292.289429,292.289429,7853900,4
