Date,Open,High,Low,Close,Adj Close,Volume,Gics
2014-07-21,590.129822,592.772522,583.630615,587.856018,587.856018,2062100,4
2014-07-22,589.1026,598.008179,588.982971,593.111633,593.111633,1699100,4
2014-07-23,591.605774,596.213074,590.877747,594.348206,594.348206,1233100,4
2014-07-24,594.816956,597.858582,590.149719,591.725403,591.725403,1035100,4
2014-07-25,588.783508,590.239502,585.422729,587.407288,587.407288,932400,4
2014-07-28,586.4599,590.877747,583.151978,588.982971,588.982971,986800,4
2014-07-29,587.138,588.085388,581.917358,584.006592,584.006592,1349800,4
2014-07-30,584.944031,587.885986,582.401001,585.811646,585.811646,1016400,4
2014-07-31,579.010315,582.052002,568.439331,570.034973,570.034973,2102700,4
2014-08-01,568.838257,574.383057,561.308899,564.520081,564.520081,1955200,4
2014-08-04,567.481995,573.774719,562.555481,571.58075,571.58075,1427300,4
2014-08-05,568.489197,570.41394,561.06958,563.522827,563.522827,1551200,4
2014-08-06,560.241882,569.137451,558.466736,564.823303,564.823303,1334300,4
2014-08-07,566.444824,568.329651,559.563721,561.817505,561.817505,1110900,4
2014-08-08,562.016968,568.68866,558.815796,567.212708,567.212708,1494700,4
2014-08-11,568.429382,568.927979,564.450317,566.325134,566.325134,1214700,4
2014-08-12,562.974365,564.350586,559.344299,561.18927,561.18927,1542000,4
2014-08-13,565.756714,573.425659,564.200989,573.206238,573.206238,1439200,4
2014-08-14,574.602417,576.317749,569.316956,573.076599,573.076599,985400,4
2014-08-15,576.277832,577.79364,568.957947,571.909851,571.909851,1519100,4
2014-08-18,574.532593,582.909607,574.422913,580.56604,580.56604,1284100,4
2014-08-19,583.398254,585.731873,582.401001,585.253174,585.253174,978600,4
2014-08-20,584.275879,585.093628,580.974915,582.889648,582.889648,1036700,4
2014-08-21,582.221497,582.899658,579.548828,581.772766,581.772766,914800,4
2014-08-22,581.992126,583.633606,579.050232,580.964966,580.964966,789000,4
2014-08-25,583.119019,583.398254,577.414734,578.61145,578.61145,1361400,4
2014-08-26,579.668518,580.207031,575.001343,576.277832,576.277832,1639600,4
2014-08-27,575.689453,576.906128,568.542053,569.436584,569.436584,1703300,4
2014-08-28,568.000549,571.680481,565.547302,567.641541,567.641541,1292900,4
2014-08-29,569.765686,570.473755,565.516357,570.034973,570.034973,1083700,4
2014-09-02,570.284302,576.247925,569.626099,575.749268,575.749268,1578400,4
2014-09-03,578.411987,581.393799,573.425659,576.357605,576.357605,1215100,4
2014-09-04,578.411987,584.395569,577.634094,580.386536,580.386536,1458100,4
2014-09-05,582.381042,584.944031,580.356628,584.475342,584.475342,1632300,4
2014-09-08,584.993896,590.149719,584.694702,588.105347,588.105347,1431000,4
2014-09-09,587.287598,587.387329,578.411987,579.419189,579.419189,1287200,4
2014-09-10,579.907837,581.902405,575.360352,581.503479,581.503479,977300,4
2014-09-11,578.770996,580.217041,574.68219,579.758301,579.758301,1221000,4
2014-09-12,579.409241,580.047485,572.887146,574.043945,574.043945,1601600,4
2014-09-15,571.371277,573.375793,566.654236,571.530884,571.530884,1597500,4
2014-09-16,571.191772,579.907837,571.092041,578.362122,578.362122,1480300,4
2014-09-17,578.421936,585.911377,577.190308,583.168884,583.168884,1692800,4
2014-09-18,585.392822,587.925842,583.398254,587.656616,587.656616,1444500,4
2014-09-19,589.880493,594.846863,587.885986,594.447937,594.447937,3736600,4
2014-09-22,592.194153,592.322754,581.862488,585.76178,585.76178,1689500,4
2014-09-23,585.243225,585.243225,579.409241,579.538879,579.538879,1471400,4
2014-09-24,579.867981,588.015625,578.930542,586.380066,586.380066,1728100,4
2014-09-25,585.941284,586.370117,572.60791,573.485474,573.485474,1925900,4
2014-09-26,574.482788,577.664001,573.086609,575.519897,575.519897,1443600,4
2014-09-29,570.18457,576.606934,569.60614,574.781921,574.781921,1282400,4
2014-09-30,575.350403,578.26239,571.281555,575.779175,575.779175,1621700,4
2014-10-01,574.432922,575.998596,565.45752,566.714111,566.714111,1445400,4
2014-10-02,565.756714,570.344116,561.777649,568.519104,568.519104,1178400,4
2014-10-03,571.481018,575.644592,570.932495,573.704895,573.704895,1141700,4
2014-10-06,577.215271,579.409241,572.867188,575.769226,575.769226,1214600,4
2014-10-07,572.827332,573.694946,562.196472,562.196472,562.196472,1911300,4
2014-10-08,564.021484,572.308716,555.963623,570.932495,570.932495,1990800,4
2014-10-09,569.616089,569.925293,557.529297,559.344299,559.344299,2524800,4
2014-10-10,556.192993,563.582703,542.560425,542.999207,542.999207,3081900,4
2014-10-13,543.497803,547.995483,531.640381,531.750061,531.750061,2581600,4
