Date,Open,High,Low,Close,Adj Close,Volume,Gics
2009-04-22,190.162231,194.27182,188.797348,191.213287,191.213287,7029800,4
2009-04-23,193.031464,194.147293,189.843414,191.62674,191.62674,5237500,4
2009-04-24,192.304199,195.855881,189.539566,194.017776,194.017776,6796100,4
2009-04-27,191.452393,194.017776,190.660355,192.254379,192.254379,4598200,4
2009-04-28,191.158493,193.798599,190.057617,191.138565,191.138565,5909100,4
2009-04-29,192.264343,196.747543,192.194611,195.004074,195.004074,7247000,4
2009-04-30,197.141068,201.121155,196.662857,197.245682,197.245682,8744000,4
2009-05-01,196.777435,198.052643,195.04393,196.109924,196.109924,4873500,4
2009-05-04,198.341568,200.448669,196.657883,200.239456,200.239456,6430000,4
2009-05-05,199.243195,201.74382,197.883286,200.742569,200.742569,4819500,4
2009-05-06,202.635468,203.377686,199.751282,200.981674,200.981674,5285400,4
2009-05-07,201.295502,201.738831,195.517151,197.564484,197.564484,6021900,4
2009-05-08,200.672836,204.29924,196.762482,202.904465,202.904465,7759100,4
2009-05-11,200.647919,205.230743,199.850906,203.228256,203.228256,5137700,4
2009-05-12,204.239456,204.727631,196.817276,198.759995,198.759995,7609900,4
2009-05-13,196.309189,197.454895,193.449905,194.042679,194.042679,5706800,4
2009-05-14,193.674057,195.372696,191.62674,193.026489,193.026489,5895900,4
2009-05-15,194.819763,196.319153,193.818527,194.27182,194.27182,6039900,4
2009-05-18,196.627991,197.913177,191.980408,197.679047,197.679047,6728500,4
2009-05-19,197.310425,200.070084,195.76622,198.695236,198.695236,5696100,4
2009-05-20,200.29425,202.07756,196.762482,197.848419,197.848419,4585000,4
2009-05-21,197.410065,200.667847,196.184647,197.509689,197.509689,5459900,4
2009-05-22,197.589386,198.580673,195.268082,196.015289,196.015289,3450000,4
2009-05-26,195.243179,201.74382,194.27182,201.425003,201.425003,6232200,4
2009-05-27,202.062622,205.161011,201.64917,202.022766,202.022766,6091200,4
2009-05-28,203.57695,205.041458,201.549545,204.433731,204.433731,5357500,4
2009-05-29,205.285538,207.835983,204.583176,207.835983,207.835983,5316100,4
2009-06-01,208.583176,213.997879,208.483551,212.483566,212.483566,6669600,4
2009-06-02,212.329132,214.177216,210.909454,213.400131,213.400131,5266800,4
2009-06-03,212.204605,215.422546,211.208344,215.019058,215.019058,7092000,4
2009-06-04,216.837234,219.796143,216.438736,219.317947,219.317947,7303300,4
2009-06-05,221.703995,222.834763,218.90947,221.330399,221.330399,7389100,4
2009-06-08,218.929398,219.636749,216.249451,218.565765,218.565765,6220500,4
2009-06-09,218.471115,219.427536,215.073853,216.996643,216.996643,6534100,4
2009-06-10,217.300507,218.127411,212.538361,215.492279,215.492279,6742900,4
2009-06-11,215.078827,216.055176,213.385178,213.699005,213.699005,5751800,4
2009-06-12,212.632996,213.051437,209.818542,211.62677,211.62677,5858600,4
2009-06-15,209.963013,209.963013,206.227005,207.606842,207.606842,7501700,4
2009-06-16,208.872101,209.758774,206.934357,207.223282,207.223282,6122100,4
2009-06-17,207.317917,209.076324,205.011566,206.80484,206.80484,7006200,4
2009-06-18,207.063873,208.563248,205.728882,206.256897,206.256897,6193400,4
2009-06-19,208.324142,209.444946,206.51593,209.260635,209.260635,8550100,4
2009-06-22,207.696503,207.9655,200.194626,202.914429,202.914429,8279600,4
2009-06-23,202.565735,203.731369,200.523392,202.08255,202.08255,5820800,4
2009-06-24,203.606827,205.345322,202.520905,203.880798,203.880798,4934000,4
2009-06-25,202.740082,207.173462,202.496002,207.108704,207.108704,6111700,4
2009-06-26,206.067612,213.315445,205.783676,211.865875,211.865875,6537800,4
2009-06-29,212.204605,213.101242,210.331619,211.278076,211.278076,4354800,4
2009-06-30,211.208344,212.807343,208.329132,210.007843,210.007843,5207100,4
2009-07-01,211.307968,212.403854,208.294266,208.712692,208.712692,4638900,4
2009-07-02,206.929382,206.929382,202.645432,203.4823,203.4823,5054000,4
2009-07-06,202.491013,204.553284,200.080048,204.040207,204.040207,4542100,4
2009-07-07,203.357758,203.830994,197.250656,197.574448,197.574448,6543000,4
2009-07-08,199.253143,202.241943,198.286774,200.4935,200.4935,6908100,4
2009-07-09,202.301727,206.451172,202.142319,204.428757,204.428757,6575700,4
2009-07-10,204.025269,207.905716,203.586899,206.42627,206.42627,5875000,4
2009-07-13,207.307953,211.467361,206.814804,211.357773,211.357773,8121600,4
2009-07-14,211.063873,212.568237,209.649185,211.552048,211.552048,5813200,4
2009-07-15,214.027771,218.520935,213.444962,218.266876,218.266876,7582200,4
2009-07-16,217.524658,222.042725,216.239487,220.473618,220.473618,13158100,4
