Date,Open,High,Low,Close,Adj Close,Volume,Gics
2013-02-01,377.684357,386.850006,377.634521,386.351868,386.351868,7520100,4
2013-02-04,382.411621,383.796448,377.719208,378.092804,378.092804,6103700,4
2013-02-05,379.14389,384.115234,378.316986,381.440277,381.440277,3755300,4
2013-02-06,378.117737,385.036774,377.833801,383.647003,383.647003,4171700,4
2013-02-07,383.412872,387.950867,381.320709,385.529938,385.529938,5701600,4
2013-02-08,388.608398,391.86618,388.324463,391.218628,391.218628,6062700,4
2013-02-11,387.746643,390.038055,385.430298,389.749115,389.749115,4351800,4
2013-02-12,389.415375,392.478882,388.229828,388.892334,388.892334,3731900,4
2013-02-13,388.608398,391.208649,388.528687,389.968292,389.968292,2405200,4
2013-02-14,388.409149,392.897339,387.4328,392.439056,392.439056,3483500,4
2013-02-15,392.229828,395.148895,392.06543,394.964569,394.964569,5480000,4
2013-02-19,396.508789,401.993225,396.155121,401.918518,401.918518,5885500,4
2013-02-20,401.146393,402.974548,394.416626,394.750366,394.750366,5549000,4
2013-02-21,397.51004,401.22113,394.13269,396.279633,396.279633,7039000,4
2013-02-22,398.137695,399.128967,395.417877,398.361847,398.361847,4123100,4
2013-02-25,399.652008,402.695587,393.769043,393.908539,393.908539,4625000,4
2013-02-26,396.015625,396.488861,390.735413,393.589722,393.589722,4421500,4
2013-02-27,395.916016,400.872437,394.077911,398.396698,398.396698,4067300,4
2013-02-28,399.05426,401.988251,399.019379,399.104065,399.104065,4548500,4
2013-03-01,397.4104,402.062958,396.588501,401.589752,401.589752,4367000,4
2013-03-04,401.146393,409.883667,400.996979,409.216156,409.216156,5571900,4
2013-03-05,412.917297,418.506348,412.902344,417.734222,417.734222,8118400,4
2013-03-06,418.944702,420.424133,412.857513,414.137695,414.137695,5767400,4
2013-03-07,415.472717,416.747925,413.241058,414.745422,414.745422,4120700,4
2013-03-08,415.691895,415.901093,410.984528,414.207458,414.207458,5845600,4
2013-03-11,414.292145,418.282166,414.197479,415.851288,415.851288,3201200,4
2013-03-12,413.803955,414.391754,410.297119,412.259735,412.259735,4031600,4
2013-03-13,412.404205,413.794006,409.619659,411.114044,411.114044,3294800,4
2013-03-14,411.950897,411.950897,407.168823,409.236084,409.236084,3314700,4
2013-03-15,407.721771,408.618408,405.151398,405.629608,405.629608,6222500,4
2013-03-18,400.996979,404.862488,399.238556,402.386749,402.386749,3690300,4
2013-03-19,404.105316,408.095367,401.719269,404.145172,404.145172,4212000,4
2013-03-20,406.889862,407.228607,404.204926,405.833832,405.833832,2938500,4
2013-03-21,404.130219,406.934723,403.412903,404.115265,404.115265,2966200,4
2013-03-22,405.848785,406.097839,403.308289,403.642059,403.642059,2987400,4
2013-03-25,404.688141,408.085388,401.903564,403.308289,403.308289,3436800,4
2013-03-26,405.23111,405.480164,402.386749,404.693115,404.693115,2392600,4
2013-03-27,401.833832,401.993225,399.168823,399.831329,399.831329,4342500,4
2013-03-28,400.493866,401.181274,395.168823,395.612152,395.612152,4592600,4
2013-04-01,396.02063,399.627106,395.14389,399.099091,399.099091,3628100,4
2013-04-02,400.767822,405.893616,400.49884,405.001953,405.001953,4098200,4
2013-04-03,405.211182,405.579773,398.840057,401.594727,401.594727,3489900,4
2013-04-04,400.623352,401.370575,394.172546,396.050507,396.050507,4913400,4
2013-04-05,391.562317,392.025604,386.750366,390.062958,390.062958,6893400,4
2013-04-08,387.92099,388.319489,382.765289,385.978271,385.978271,5685300,4
2013-04-09,386.302032,390.411652,385.111511,387.373016,387.373016,4330700,4
2013-04-10,389.998199,394.695587,386.551117,393.614624,393.614624,3971900,4
2013-04-11,394.959595,395.069183,390.566071,393.719238,393.719238,4072500,4
2013-04-12,394.516266,394.571045,390.003174,393.549866,393.549866,3285500,4
2013-04-15,391.507538,397.011902,387.059204,389.505035,389.505035,4924500,4
2013-04-16,391.826324,396.513763,390.496338,395.203674,395.203674,3496900,4
2013-04-17,391.906036,393.94339,387.597198,389.818878,389.818878,4089100,4
2013-04-18,391.208649,391.4328,379.208618,381.524963,381.524963,6669800,4
2013-04-19,383.14389,400.219879,381.69931,398.441528,398.441528,11649800,4
2013-04-22,398.805176,400.478912,386.052979,398.561096,398.561096,5788300,4
2013-04-23,399.004425,406.227356,398.685638,402.441559,402.441559,4601600,4
2013-04-24,402.546173,407.472687,402.491364,405.206177,405.206177,3671800,4
2013-04-25,406.600952,406.710541,402.307068,403.039307,403.039307,3999200,4
2013-04-26,402.292114,402.361847,396.802673,399.213654,399.213654,4993900,4
2013-04-29,400.125244,409.813904,400.000702,408.000702,408.000702,4618800,4
