Date,Open,High,Low,Close,Adj Close,Volume,Gics
2018-11-02,1073.72998,1082.974976,1054.609985,1057.790039,1057.790039,1839000,4
2018-11-05,1055.0,1058.469971,1021.23999,1040.089966,1040.089966,2441400,4
2018-11-06,1039.47998,1064.344971,1038.069946,1055.810059,1055.810059,1233300,4
2018-11-07,1069.0,1095.459961,1065.900024,1093.390015,1093.390015,2058400,4
2018-11-08,1091.380005,1093.27002,1072.204956,1082.400024,1082.400024,1488200,4
2018-11-09,1073.98999,1075.560059,1053.109985,1066.150024,1066.150024,1343200,4
2018-11-12,1061.390015,1062.119995,1031.0,1038.630005,1038.630005,1471800,4
2018-11-13,1043.290039,1056.60498,1031.150024,1036.050049,1036.050049,1513700,4
2018-11-14,1050.0,1054.563965,1031.0,1043.660034,1043.660034,1565900,4
2018-11-15,1044.709961,1071.849976,1031.780029,1064.709961,1064.709961,1836100,4
2018-11-16,1059.410034,1067.0,1048.97998,1061.48999,1061.48999,1658100,4
2018-11-19,1057.199951,1060.790039,1016.26001,1020.0,1020.0,1858600,4
2018-11-20,1000.0,1031.73999,996.02002,1025.76001,1025.76001,2449100,4
2018-11-21,1036.76001,1048.560059,1033.469971,1037.609985,1037.609985,1534300,4
2018-11-23,1030.0,1037.589966,1022.398987,1023.880005,1023.880005,691500,4
2018-11-26,1038.349976,1049.310059,1033.910034,1048.619995,1048.619995,1942800,4
2018-11-27,1041.0,1057.579956,1038.48999,1044.410034,1044.410034,1803200,4
2018-11-28,1048.76001,1086.839966,1035.76001,1086.22998,1086.22998,2475400,4
2018-11-29,1076.079956,1094.244995,1076.0,1088.300049,1088.300049,1468900,4
2018-11-30,1089.069946,1095.569946,1077.880005,1094.430054,1094.430054,2580200,4
2018-12-03,1123.140015,1124.650024,1103.665039,1106.430054,1106.430054,1991200,4
2018-12-04,1103.119995,1104.420044,1049.97998,1050.819946,1050.819946,2345200,4
2018-12-06,1034.26001,1071.199951,1030.77002,1068.72998,1068.72998,2769200,4
2018-12-07,1060.01001,1075.26001,1028.5,1036.579956,1036.579956,2101200,4
2018-12-10,1035.050049,1048.449951,1023.289978,1039.550049,1039.550049,1807700,4
2018-12-11,1056.48999,1060.599976,1039.839966,1051.75,1051.75,1394700,4
2018-12-12,1068.0,1081.650024,1062.790039,1063.680054,1063.680054,1523800,4
2018-12-13,1068.069946,1079.76001,1053.930054,1061.900024,1061.900024,1329800,4
2018-12-14,1049.97998,1062.599976,1040.790039,1042.099976,1042.099976,1686600,4
2018-12-17,1037.51001,1053.150024,1007.900024,1016.530029,1016.530029,2385400,4
2018-12-18,1026.089966,1049.47998,1021.440002,1028.709961,1028.709961,2192500,4
2018-12-19,1033.98999,1062.0,1008.049988,1023.01001,1023.01001,2479300,4
2018-12-20,1018.130005,1034.219971,996.359985,1009.409973,1009.409973,2673500,4
2018-12-21,1015.299988,1024.02002,973.690002,979.539978,979.539978,4596000,4
2018-12-24,973.900024,1003.539978,970.109985,976.219971,976.219971,1590300,4
2018-12-26,989.01001,1040.0,983.0,1039.459961,1039.459961,2373300,4
2018-12-27,1017.150024,1043.890015,997.0,1043.880005,1043.880005,2109800,4
2018-12-28,1049.619995,1055.560059,1033.099976,1037.079956,1037.079956,1414800,4
2018-12-31,1050.959961,1052.699951,1023.590027,1035.609985,1035.609985,1493300,4
2019-01-02,1016.570007,1052.319946,1015.710022,1045.849976,1045.849976,1532600,4
2019-01-03,1041.0,1056.97998,1014.070007,1016.059998,1016.059998,1841100,4
2019-01-04,1032.589966,1070.839966,1027.417969,1070.709961,1070.709961,2093900,4
2019-01-07,1071.5,1074.0,1054.76001,1068.390015,1068.390015,1981900,4
2019-01-08,1076.109985,1084.560059,1060.530029,1076.280029,1076.280029,1764900,4
2019-01-09,1081.650024,1082.630005,1066.400024,1074.660034,1074.660034,1199300,4
2019-01-10,1067.660034,1071.150024,1057.709961,1070.329956,1070.329956,1456400,4
2019-01-11,1063.180054,1063.775024,1048.47998,1057.189941,1057.189941,1520800,4
2019-01-14,1046.920044,1051.530029,1041.255005,1044.689941,1044.689941,1144300,4
2019-01-15,1050.170044,1080.050049,1047.339966,1077.150024,1077.150024,1463600,4
2019-01-16,1080.0,1092.375,1079.339966,1080.969971,1080.969971,1331800,4
2019-01-17,1079.469971,1091.800049,1073.5,1089.900024,1089.900024,1242700,4
2019-01-18,1100.0,1108.352051,1090.900024,1098.26001,1098.26001,1955600,4
2019-01-22,1088.0,1091.51001,1063.469971,1070.52002,1070.52002,1613500,4
2019-01-23,1077.349976,1084.930054,1059.75,1075.569946,1075.569946,967000,4
2019-01-24,1076.47998,1079.474976,1060.699951,1073.900024,1073.900024,1361300,4
2019-01-25,1085.0,1094.0,1081.819946,1090.98999,1090.98999,1119100,4
2019-01-28,1080.109985,1083.0,1063.800049,1070.079956,1070.079956,1284300,4
2019-01-29,1072.680054,1075.150024,1055.86499,1060.619995,1060.619995,1021800,4
2019-01-30,1068.430054,1091.0,1066.849976,1089.060059,1089.060059,1279800,4
2019-01-31,1103.0,1117.329956,1095.410034,1116.369995,1116.369995,1538300,4
